"NAME","mean_outcome","mean_urban","mean_wealth","n_clusters","total_women","country_code","country_name","year","total_exports","ln_total_exports"
"WAKURA",0.8125,0,1.21875,1,32,566,"Nigeria",2008,0,0
"WARJAWA",0.586021505376344,0,1.53763440860215,4,186,566,"Nigeria",2008,0,0
"WURKUM",0.96,0,1.08,1,50,566,"Nigeria",2008,0,0
"YAKO",0.52760736196319,0,2.77914110429448,5,163,566,"Nigeria",2008,126,4.84418708645859
"YERGUM",0.71563981042654,0.194312796208531,2.52132701421801,4,211,566,"Nigeria",2008,0,0
"YESKWA",0.668367346938775,0,2.48469387755102,4,196,566,"Nigeria",2008,90,4.51085950651685
"YORUBA",0.474416294088425,0.512667660208644,3.60755091902633,61,2013,566,"Nigeria",2008,665966,13.4089953987454
"YUNGUR",0.416666666666667,1,3.80555555555555,1,36,566,"Nigeria",2008,0,0
"ZUANDE, BATU (E)",0.695652173913043,0,2.71014492753624,1,69,566,"Nigeria",2008,0,0
"ZUMPER",0.915929203539823,0,2.17699115044248,5,226,566,"Nigeria",2008,126,4.84418708645859
"AUSHI",0.232248520710059,0.568047337278107,3.34023668639053,29,676,894,"Zambia",2013,0,0
"BEMBA",0.222093023255814,0.511627906976744,3.1906976744186,39,860,894,"Zambia",2013,3045,8.02158453345511
"BISA",0.174825174825175,0.734265734265734,3.47552447552448,6,143,894,"Zambia",2013,12743,9.45281585158988
"CHEWA",0.190751445086705,0.670520231213873,3.35838150289017,8,173,894,"Zambia",2013,9129,9.11932097358901
"ILA",0.209386281588448,0.530685920577617,3.1841155234657,12,277,894,"Zambia",2013,0,0
"IWA",0.383763837638376,0.265682656826568,2.69741697416974,11,271,894,"Zambia",2013,0,0
"KAONDE",0.216696269982238,0.47246891651865,3.11190053285968,25,563,894,"Zambia",2013,2814,7.94271754057379
"KUNDA",0.187279151943463,0.547703180212014,3.51943462897527,13,283,894,"Zambia",2013,0,0
"LALA",0.315068493150685,0.150684931506849,2.83561643835616,6,146,894,"Zambia",2013,1490,7.30720231476474
"LAMBA",0.244599745870394,0.466327827191868,3.15756035578145,71,1574,894,"Zambia",2013,563,6.33505425149806
"LAMBYA",0.194444444444445,0.583333333333333,2.63888888888889,2,36,894,"Zambia",2013,0,0
"LENJE",0.269447576099211,0.48196166854566,3.10935738444194,79,1774,894,"Zambia",2013,0,0
"LOZI",0.305084745762712,0.278890600924499,2.74114021571649,30,649,894,"Zambia",2013,0,0
"LUAPULA",0.287262872628726,0.555555555555556,3.18428184281843,16,369,894,"Zambia",2013,0,0
"LUKOKWE",0.185185185185185,0.580246913580247,2.7037037037037,4,81,894,"Zambia",2013,0,0
"LUNGU",0.316176470588235,0.544117647058823,3.13970588235294,12,272,894,"Zambia",2013,0,0
"LUVALE",0.390243902439024,0.219512195121951,2.74390243902439,4,82,894,"Zambia",2013,1376,7.22766249872865
"MASHASHA",0.0851063829787234,1,4.25531914893617,2,47,894,"Zambia",2013,0,0
"MASHI",0.169354838709677,0.403225806451613,2.56451612903226,5,124,894,"Zambia",2013,0,0
"MBUNDA",0.114285714285714,1,4.74285714285714,1,35,894,"Zambia",2013,0,0
"MOMBERA",0.219512195121951,0.252032520325203,2.26829268292683,6,123,894,"Zambia",2013,0,0
"MPEZENI",0.24390243902439,0.446529080675422,3.27579737335835,21,533,894,"Zambia",2013,0,0
"NDEMBU",0.290909090909091,0.654545454545455,3.25,11,220,894,"Zambia",2013,393,5.97635090929793
"NKOYA",0.346456692913386,0,2.32283464566929,6,127,894,"Zambia",2013,0,0
"NSENGA",0.149812734082397,0.662921348314607,3.44943820224719,12,267,894,"Zambia",2013,86,4.46590811865458
"SENGA",0.237037037037037,0.17037037037037,2.85185185185185,6,135,894,"Zambia",2013,2872,7.96311205897929
"SHILA",0.4,0,1.82,2,50,894,"Zambia",2013,0,0
"SUBIA",0.240875912408759,0.397810218978102,3.30656934306569,12,274,894,"Zambia",2013,0,0
"TABWA",0.181818181818182,0.469090909090909,3.12363636363636,13,275,894,"Zambia",2013,0,0
"TONGA",0.243589743589744,0.605128205128205,3.24188034188034,48,1170,894,"Zambia",2013,261,5.5683445037611
"TOTELA",0.382716049382716,0.45679012345679,3.46913580246914,3,81,894,"Zambia",2013,0,0
"TUMBUKA",0.355555555555556,0.522222222222222,3.05555555555555,4,90,894,"Zambia",2013,12271,9.41507552360704
"UNGA",0.234042553191489,0.521276595744681,2.85106382978723,4,94,894,"Zambia",2013,0,0
"GANDA",0.618966107497432,0.218418349880178,3.33926737418692,130,2921,800,"Uganda",2006,4356,8.37953902611744
"GISU",0.716612377850163,0,2.92508143322476,13,307,800,"Uganda",2006,0,0
"LANGO",0.91304347826087,0,1.76086956521739,2,46,800,"Uganda",2006,0,0
"NYORO",0.523809523809524,0,3.28571428571428,1,21,800,"Uganda",2006,0,0
"SABEI",0.785714285714286,0,2.82142857142857,1,28,800,"Uganda",2006,0,0
"SOGA",0.696025778732546,0.0171858216970999,2.33834586466165,40,931,800,"Uganda",2006,174,5.16478597392351
"TESO",0.9375,0,1.63541666666667,4,96,800,"Uganda",2006,0,0
"WANGA",0.728395061728395,0,3.2962962962963,3,81,800,"Uganda",2006,847,6.7428806357919
"ADAMAWA",0.683908045977011,0.295977011494253,2.26293103448276,29,696,120,"Cameroon",2004,0,0
"ANYANG",0.755555555555556,0,2.24444444444444,2,45,120,"Cameroon",2004,9431,9.15186344221721
"BAMILEKE",0.514511873350924,0.439313984168865,3.20976253298153,28,758,120,"Cameroon",2004,753,6.62539236800796
"BAYA",0.556122448979592,0.438775510204082,2.47959183673469,10,196,120,"Cameroon",2004,0,0
"DAMA",0.758620689655172,0,1.10344827586207,1,29,120,"Cameroon",2004,0,0
"DUALA",0.620522749273959,0.949661181026138,4.4269119070668,47,1033,120,"Cameroon",2004,5417,8.59748202264504
"DZEM",0.823529411764706,0,2.05882352941176,2,34,120,"Cameroon",2004,0,0
"FALI",0.823863636363636,0.267045454545455,1.69886363636364,5,176,120,"Cameroon",2004,0,0
"FANG",0.670494258612082,0.62955566650025,3.78332501248128,93,2003,120,"Cameroon",2004,1860,7.52886925664225
"FIA",0.739463601532567,0.134099616858238,2.97318007662835,9,261,120,"Cameroon",2004,188,5.24174701505964
"FUT",0.517412935323383,0.417910447761194,3.50248756218905,7,201,120,"Cameroon",2004,94,4.55387689160054
"GALIM",0.476190476190476,1,4.0952380952381,1,21,120,"Cameroon",2004,0,0
"GISIGA",0.720689655172414,0.475862068965517,2.51724137931034,9,290,120,"Cameroon",2004,0,0
"GUDE",0.805084745762712,0,1.78813559322034,4,118,120,"Cameroon",2004,12613,9.4425625872236
"KAKA",0.683453237410072,0.294964028776978,2.30935251798561,8,139,120,"Cameroon",2004,2259,7.72312009226633
"KAPSIKI",1,0,1.21276595744681,3,47,120,"Cameroon",2004,0,0
"KEPERE",0.545454545454546,1,4.72727272727273,1,33,120,"Cameroon",2004,0,0
"KOKO",0.729613733905579,0.124463519313305,3.07725321888412,11,233,120,"Cameroon",2004,3153,8.05642676752298
"KOM",0.766666666666666,0.2,2.01333333333333,6,150,120,"Cameroon",2004,0,0
"KOSSI",0.549125168236878,0.674293405114401,3.23687752355316,32,743,120,"Cameroon",2004,282,5.64544689764324
"KOTOKO",1,0,1.6,1,10,120,"Cameroon",2004,0,0
"KOTOPO",0.888888888888889,0,1.5,1,18,120,"Cameroon",2004,0,0
"KPE",0.450549450549451,0.557692307692308,4.21703296703297,17,364,120,"Cameroon",2004,188,5.24174701505964
"KUNDU",0.513307984790874,0.555133079847909,3.45627376425855,12,263,120,"Cameroon",2004,1224,7.11069612297883
"LAKA (ADAMAWA",0.698630136986301,0.315068493150685,2.02739726027397,3,73,120,"Cameroon",2004,0,0
"LI",0.709677419354839,0.204301075268817,2.87096774193548,5,93,120,"Cameroon",2004,94,4.55387689160054
"MAKA",0.625,0.533783783783784,3.08783783783784,11,296,120,"Cameroon",2004,0,0
"MAMBILA",0.707865168539326,0.426966292134831,2.42696629213483,5,89,120,"Cameroon",2004,112,4.72738781871234
